Lat	Lon	Area_ha	S	N	min_DBH_cm	Tree_def	Notes	Numerical_ID	Plot_ID	Dataset	Ref_short	Ref_long
51.6	123.067	0.08	1	66	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	24	Baik_9	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.08	2	173	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	25	Baik_10	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.08	5	87	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	26	Baik_11	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.08	2	94	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	27	Baik_12	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.01	5	28	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	28	Baik_13	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.02	4	107	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	29	Baik_14	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
21.483	101.567	0.25	68	308	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	30	Cao_1	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.25	54	154	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	31	Cao_2	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.25	43	142	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	32	Cao_3	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.25	77	257	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	33	Cao_4	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
