"Dataset","Loc_ID","Lat","Lon","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK","DAT_TYPE"
"CoelhodeSouza_Amazon","TAN-03",-12.82,-52.36,0.01,53,641,10,12894,8859.9169921875,25.2,26,70,14,79,34,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TAN-04",-12.92,-52.37,0.01,60,660,10,24277,12245.8330078125,25,25.8,70,13,79,13,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TAP-50",-3.31,-54.94,0.0025,63,180,10,23530,12089.75,25.3,26.1,80,160,62,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TAP-54",-3.31,-54.95,0.0025,57,153,10,22524,11472.9169921875,25.3,26.1,80,160,61,41,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TAY-01",11.33,-74.03,0.001,31,73,10,29492,13230.9169921875,26.6,27.3,82,40,74,346,0,"Deserts and Xeric Shrublands","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEC-01",-1.71,-51.46,0.01,135,544,10,22088,10778,26.7,27.2,85,211,51,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEC-02",-1.74,-51.49,0.01,163,537,10,22523,10821,26.7,27.2,85,205,52,29,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEC-03",-1.73,-51.51,0.01,132,465,10,21119,10818,26.7,27.3,86,206,52,40,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEC-04",-1.75,-51.52,0.01,153,517,10,22308,10750.5830078125,26.8,27.3,86,201,52,37,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEC-05",-1.78,-51.59,0.01,162,557,10,22242,11111.0830078125,26.8,27.3,86,201,53,34,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEC-06",-1.73,-51.43,0.01,149,514,10,22854,10951.9169921875,26.7,27.2,86,209,51,36,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEM-01",-2.97,-59.9,0.01,289,651,10,24254,12067.9169921875,27.1,27.8,81,254,41,67,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEM-02",-2.93,-59.95,0.01,261,643,10,24131,12281.3330078125,27,27.7,81,261,40,52,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEM-03",-2.41,-59.9,0.01,267,705,10,24109,11789.9169921875,26.9,27.5,82,361,32,63,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEM-04",-2.43,-59.79,0.01,260,655,10,24057,11729,26.9,27.5,82,350,33,59,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEM-05",-2.62,-60.21,0.01,292,725,10,24342,11968.5830078125,27,27.6,82,320,36,49,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TEM-06",-2.6,-60.11,0.01,274,751,10,24193,11824.4169921875,27.1,27.7,82,320,33,48,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TIP-01",-0.66,-76.4,0.01,166,702,10,28211,11598.8330078125,25,25.5,85,624,16,49,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TIP-02",-0.63,-76.14,0.008,221,655,10,28671,11847.3330078125,25.3,25.7,85,566,18,31,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TIP-03",-0.64,-76.15,0.01,134,605,10,28491,11840.4169921875,25.3,25.8,85,568,18,32,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TMP-01",-13.13,-69.57,0.0225,233,1306,10,34358,14275.75,25.1,26,74,354,48,21,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","TUT-01",5.76,-76.58,0.001,50,76,10,10705,25147.25,26.6,26.8,93,1422,15,62,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VCR-03",-14.83,-52.16,0.01,17,285,10,25914,12244.5830078125,25.2,26.3,70,16,81,23,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VCR-04",-14.83,-52.17,0.01,73,485,10,25914,12244.5830078125,25.2,26.3,70,16,81,31,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VEN-01",-4.67,-73.82,0.005,35,277,10,29422,13282.25,26.7,27,84,435,21,15,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-01",4.1,-66.63,0.001,33,79,10,25239,10541.25,27.4,28.3,82,190,61,13,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-02",4.1,-66.65,0.001,39,94,10,25047,10340,27.4,28.2,80,191,60,29,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-03",4.08,-66.62,0.001,19,131,10,24989,10280.1669921875,27.3,28.1,82,193,60,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-04",4.18,-66.52,0.001,35,113,10,12704,6845.41650390625,27.5,28.3,81,183,61,23,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-05",4.08,-66.72,0.001,37,119,10,24605,10257.1669921875,27.4,28.2,81,197,59,26,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-06",4.13,-66.47,0.001,35,66,10,25621,10532.6669921875,27.4,28.1,82,194,60,28,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-07",4.08,-66.43,0.001,21,53,10,8155,6246.75,26.8,27.5,82,213,58,41,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","VTU-08",4.7,-66.3,0.001,37,102,10,20284,8721,27.5,28.3,78,136,67,27,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","YAN-01",-3.43,-72.84,0.01,367,992,10,26099,11994.3330078125,26.2,26.7,85,533,20,31,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","YAN-11",-3.43,-72.85,0.001,41,52,10,26568,12113.1669921875,26.2,26.7,85,534,20,28,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","YAN-13",-3.46,-72.83,0.001,50,74,10,26693,12342.8330078125,26.3,26.8,84,533,20,10,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","YUT-01",-2.35,-76.43,0.01,171,608,10,30472,12222.9169921875,25.4,25.9,87,622,16,64,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ZAR-01",-4.01,-69.91,0.01,55,888,10,26473,11146,25.8,26.1,84,478,23,20,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ZAR-02",-4,-69.9,0.01,166,664,10,26362,11097.3330078125,25.8,26.2,83,475,24,31,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ZAR-03",-3.99,-69.9,0.01,204,714,10,25341,10736.5830078125,25.7,26.1,84,476,23,29,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ZAR-04",-3.99,-69.91,0.01,129,667,10,26050,11036.4169921875,25.7,26,84,479,23,34,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Sierrra_de_San_Javier",-27.76,-65.33,0.06,33,2320,10,12159,4651.91650390625,20,25.8,47,46,66,8,0,"Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Chancani",-30.37,-65.43,0.032,8,498,5,2106,2896.91674804688,20.7,26.9,47,17,78,13,0,"Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Hadeth_1",34.252,35.94,0.004,1,110,10,10026,2843.41674804688,13.1,21.5,34,5,96,631,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"Ecoregister","Tannourine_1",34.248,35.98,0.004,1,142,10,10149,4556.16650390625,14.3,22.6,36,4,95,451,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"Ecoregister","Ain_Zahalta",33.745,35.736,0.004,1,161,10,8117,2676.25,10.8,18.6,28,4,97,305,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"Ecoregister","Barouk_1",33.688,35.693,0.004,1,90,10,7610,3424.08325195312,10.7,18.4,28,4,98,372,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"Ecoregister","Isecheno_Forrestel",0.32,34.87,0.0179,56,741,10,29274,14600,20.2,21,87,242,38,46,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropic","Afrotropic","Plot"
"Ecoregister","Aya_forest",32.07,131.15,0.04,53,5207,5,29646,9566.3330078125,12.3,21.6,28,294,60,547,1,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Ecoregister","Ashiu_forest",35.3,135.72,0.006,24,458,10,14689,5527.91650390625,11,21.7,24,331,33,253,1,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Ecoregister","Sannosuke_forest",42.78,140.3953,0.0075,14,989,10,11459,5217.08349609375,5.7,17.5,22,247,22,249,1,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Ecoregister","Chichibu_mountains",35.94,138.81,0.06875,55,7940,5,17127,8107.25,9.1,20,30,136,49,403,1,"Temperate Conifer Forests","Palearctic","Eastern Palearctic","Plot"
"Ecoregister","Segire_river",30.35,130.53,0.008,30,2910,2,18133,6657.91650390625,12.9,20.2,26,478,44,394,1,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Eastern Palearctic","Plot"
"Ecoregister","Varagalaiar_forest",10.42,76.87,0.3,148,13393,9.55,23761,12293.4169921875,24.4,26.3,62,62,76,132,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Ecoregister","Khao_Yai_NP_forest",14.43,101.37,0.3,204,15676,10,24918,12034.6669921875,23.6,25.5,58,43,72,65,0,"Tropical and Subtropical Dry Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Ecoregister","University_of_Ryukus_forest",26.75,128.24,0.04,28,5493,10,26825,11123,21,26.7,30,385,29,183,1,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Eastern Palearctic","Plot"
"Ecoregister","Little_Schneider_Ridge",39.92,-121.03,0.04,7,2884,9.5,12603,3516,9.6,17.8,48,31,78,109,0,"Temperate Conifer Forests","Nearctic","Nearctic","Plot"
"Ecoregister","PSP1_plot",47.78,15.07,0.01,3,315,10,10715,6021.41650390625,2.7,11.1,31,222,29,492,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"Ecoregister","Rabongo_plot1",2.08,31.87,0.01,24,522,10,22130,19144.583984375,23.6,24.7,79,116,41,51,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropic","Afrotropic","Plot"
"Ecoregister","Village_transect_1",2.765,14.542,0.01,116,656,10,24672,12297.5,23.5,24.3,83,154,46,61,0,"Tropical and Subtropical Moist Broadleaf Forests","Afrotropic","Afrotropic","Plot"
"Ecoregister","Jalope_transect_1",2.718,14.652,0.01,104,444,10,24658,12731.6669921875,23.6,24.4,82,158,46,36,0,"Tropical and Subtropical Moist Broadleaf Forests","Afrotropic","Afrotropic","Plot"
"Ecoregister","Picinguaba_Site2",-23.3575,-44.8564,0.01,55,334,5,33653,13896.4169921875,23.2,26,56,311,39,137,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Picinguaba_Site100",-23.3282,-44.8332,0.004,68,249,5,32868,13043.25,22.4,25.2,58,290,42,251,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Picinguaba_Site300",-23.3029,-44.8056,0.0018,104,252,5,31187,11641,20,22.7,59,186,53,322,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Picinguaba_Site600",-23.2953,-44.8226,0.0018,105,318,5,29739,10657.5830078125,17.7,20.4,60,147,58,328,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Picinguaba_Site1000",-23.284,-44.8109,0.0018,90,316,5,29296,10673.5830078125,15.8,18.6,60,141,60,205,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Tunjenmir_1",43.308,18.6967,0.002,4,419,5,13756,5864.08349609375,6.7,14.8,31,248,14,379,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"Ecoregister","Zangolina",43.308,18.7284,0.002,5,601,5,13797,4484.25,6,13.9,31,253,13,178,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"Ecoregister","La_Pantera_Yucatan",19.148,-88.4935,0.005,39,302,10,29258,11936.5,25.8,27.4,67,124,50,20,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"Ecoregister","Zobawk_undisturbed_plot",22.792,92.797,0.005,32,387,10,25772,12903.25,24.1,26.5,46,41,90,183,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Ecoregister","Bhadra_Wildlife_Sanctuary",13.75,75.583,0.02,45,1961,1,12833,10289,24.2,27.1,55,8,114,97,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Eichhorn_Kamchatka","Eich_Low1",55.8279,159.4831,0.0025,3,180,1,7519,3451.5,-0.8,11.4,21,105,28,11,0,"Boreal Forests/Taiga","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Low2",55.8168,159.516,0.0025,2,195,1,7407,2928.5,-0.7,11.5,21,106,28,13,0,"Boreal Forests/Taiga","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Low3",55.8,159.5515,0.0025,3,218,1,8139,3185.91674804688,-0.6,11.7,21,106,27,11,0,"Boreal Forests/Taiga","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Up1",55.9943,158.7405,0.003,3,57,1,4154,2744.75,-4.5,7.4,20,116,32,136,0,"Tundra","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Up2",56.0074,158.9037,0.0025,2,80,1,4420,2998.75,-5.5,6.5,21,125,31,327,0,"Tundra","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Up3",55.9838,158.7509,0.003,3,124,1,7558,2898.75,-4.3,7.7,21,116,32,216,0,"Tundra","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Up4",55.8613,158.6374,0.0025,2,256,1,5274,2938.66674804688,-4.2,7.6,20,117,32,114,0,"Tundra","Palearctic","Eastern Palearctic","Plot"
"Eichhorn_Kamchatka","Eich_Up5",55.8755,158.6298,0.0025,1,126,1,5595,3157.83325195312,-4.9,6.9,20,121,32,201,0,"Tundra","Palearctic","Eastern Palearctic","Plot"
"FR_NFI","FR400150",47.639,1.554,7e-04,2,7,18.7,14052,5144.33349609375,11,18.1,37,150,8,15,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR410486",43.835,7.024,7e-04,1,9,18.7,15391,4772.33349609375,10.3,17.5,33,147,25,659,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR412863",42.838,1.765,7e-04,2,2,18.7,12012,4755.58349609375,6.5,13.8,34,241,14,328,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR424835",44.313,6.311,7e-04,2,7,18.7,13037,2568.25,5.9,13.5,32,226,14,439,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR445578",48.35,-4.048,7e-04,1,10,18.7,25360,5932.41650390625,9.8,14.9,37,180,31,102,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR466362",48.087,7.053,7e-04,1,3,18.7,11976,4441.25,4.7,12,30,329,12,204,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR479921",42.462,2.327,7e-04,1,8,18.7,12741,5767.83349609375,3.5,10.8,31,282,13,172,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR561795",43.983,3.597,7e-04,2,4,18.7,15778,5907.08349609375,12.9,20.5,37,137,22,103,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR563061",46.107,3.426,7e-04,1,5,18.7,12198,2717.5,11,18.6,39,135,23,22,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR568184",48.122,7.069,7e-04,1,2,18.7,11340,3489.41674804688,4.8,12.1,30,324,12,157,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR602772",45.253,6.71,7e-04,1,2,18.7,7467,4152.25,1.1,8.6,29,347,10,398,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR607264",44.184,5.276,7e-04,1,13,18.7,14529,2992.41674804688,5.9,13.3,31,222,13,352,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR610884",42.837,-0.53,7e-04,1,12,18.7,11723,4721.16650390625,5.9,12.8,38,236,13,428,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR612408",44.65,6.461,7e-04,2,6,18.7,12135,4860.33349609375,5.3,13,32,247,11,405,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR624512",44.736,5.482,7e-04,1,5,18.7,8023,4239.41650390625,3.4,10.7,30,278,11,305,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR625536",48.24,7.674,7e-04,1,6,18.7,14210,5865.25,10.4,18.5,32,119,29,17,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR627114",43.325,5.749,7e-04,3,5,18.7,11145,3316.16674804688,10,17.2,33,129,27,174,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR628852",48.121,7.096,7e-04,1,3,18.7,11791,3262.91674804688,5.5,12.9,30,297,11,281,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR633318",44.302,6.611,7e-04,1,2,18.7,10448,3071.83325195312,2.4,9.6,29,279,12,504,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR635607",45.62,3.596,7e-04,1,6,18.7,15876,6227.41650390625,7.7,15,36,138,26,157,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR646572",48.63,7.822,7e-04,2,4,18.7,14294,5632.33349609375,10.2,18.4,32,119,24,14,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR662132",48.886,8.123,7e-04,1,3,18.7,11543,6114.66650390625,10.3,18.6,33,134,20,18,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR665349",47.724,7.541,7e-04,2,6,18.7,12685,3504.41674804688,10.2,18.2,33,130,27,18,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR676858",43.943,7.431,7e-04,1,1,18.7,17115,6516.08349609375,10,17.3,31,153,24,536,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR702096",42.642,2.278,7e-04,1,7,18.7,17345,5386.91650390625,7.2,14.5,33,232,14,278,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR714748",42.836,0.179,7e-04,1,2,18.7,4692,4542.08349609375,2.3,9.4,33,299,12,351,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR715241",42.736,0.621,7e-04,2,6,18.7,13807,5936.33349609375,8.6,15.9,37,226,14,433,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR727034",46.953,3.469,7e-04,1,5,18.7,14266,7188.08349609375,10.7,18,36,152,14,38,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR732887",47.707,7.513,7e-04,1,1,18.7,7402,4221,10.2,18.2,33,132,26,27,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR737984",45.577,6.235,7e-04,1,1,18.7,15224,4860.41650390625,11.1,19.4,35,190,11,13,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR744726",44.752,4.877,7e-04,4,6,18.7,10506,4663.25,12.5,20.7,35,173,20,37,0,"Mediterranean Forests, Woodlands and Scrub","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR750489",44.772,5.484,7e-04,1,6,18.7,9645,2007.33337402344,4.4,11.8,31,264,11,301,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR752046",42.847,-0.139,7e-04,2,12,18.7,11840,3588.41674804688,4.7,11.7,36,260,13,466,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR778967",47.039,5.551,7e-04,1,2,18.7,10718,4375.5,10.7,18.7,33,192,12,27,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR813192",48.108,6.961,7e-04,1,4,18.7,14016,5611.91650390625,6.2,13.7,31,273,11,140,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR838219",44.3,6.661,7e-04,1,8,18.7,6709,4362.91650390625,2,9.3,28,285,12,393,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR846846",47.807,6.827,7e-04,2,9,18.7,13822,5465.25,6.6,14.3,31,278,11,377,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR846866",44.988,5.509,7e-04,2,5,18.7,13830,4076,5,12.6,32,266,10,237,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR851553",44.279,6.735,7e-04,1,10,18.7,5239,4038.75,2.7,9.9,29,275,12,459,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR864996",44.935,5.468,7e-04,2,2,18.7,13166,4012.66674804688,5,12.5,32,263,10,131,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"FR_NFI","FR872846",44.808,5.486,7e-04,2,3,18.7,8728,3887.08325195312,4.5,12,31,266,11,105,0,"Temperate Conifer Forests","Palearctic","Western Palearctic","Plot"
"CSIRO_Queensland","1 (EP2) Downfall Creek",-17.15,145.583,0.005,58,508,10,18793,7572.16650390625,21.1,24,57,138,78,255,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","2 (EP3) Mount Haig",-17.083,145.583,0.005,110,497,10,32281,13585.1669921875,19.4,22.4,56,116,77,313,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","3 (EP4) Little Pine Creek",-17,145.083,0.005,115,486,10,10449,5967,22.5,25.2,59,46,95,47,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Australasia","Australasia","Plot"
"CSIRO_Queensland","4 (EP9) Robson LA",-17.117,145.65,0.005,142,446,10,32264,13790.25,20.7,23.6,56,149,76,211,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","5 (EP18) Mount Lewis",-16.517,145.267,0.005,127,443,10,28945,12801.25,19.4,22.1,59,84,84,222,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","6 (EP19) Garrawalt",-18.05,145.75,0.005,112,421,10,32922,14481.6669921875,23.2,26.3,54,125,82,156,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","7 (EP29) Mount Fisher",-17.517,145.55,0.005,88,479,10,32124,12707.5830078125,19,22.1,56,107,77,58,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","8 (EP30) Agapetes LA",-16.267,145.066,0.005,110,568,10,29343,14358.75,20.2,22.8,60,68,89,96,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
"CSIRO_Queensland","9 (EP31) Woopen Creek",-17.533,145.083,0.005,101,225,10,7175,6024.58349609375,21.4,24.4,58,18,104,149,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Australasia","Australasia","Plot"
"CSIRO_Queensland","10 (EP32) McIlwraith Range",-13.75,143.35,0.005,71,436,10,27647,13939.25,23.4,25.6,62,20,109,61,0,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Australasia","Australasia","Plot"
"CSIRO_Queensland","11 (EP33) Curtain Fig",-17.283,145.567,0.005,75,299,10,24292,18354.333984375,20.7,23.7,56,140,77,71,0,"Tropical and Subtropical Moist Broadleaf Forests","Australasia","Australasia","Plot"
