"Dataset","Loc_ID","Lat","Lon","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK","DAT_TYPE"
"Zheng_Fujian","E18",27.8777,117.8235,6e-04,22,397,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E19",27.877,117.8221,6e-04,9,397,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E20",27.8768,117.8208,6e-04,10,164,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E21",27.8739,117.819,6e-04,16,191,5,12841,5197.16650390625,11.8,20,25,197,52,429,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E22",27.8775,117.8171,6e-04,12,115,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E23",27.8775,117.8156,6e-04,18,154,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E24",27.878,117.8143,6e-04,13,179,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E25",27.8777,117.8116,6e-04,16,130,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E26",27.877,117.8116,6e-04,8,185,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E27",27.8775,117.8101,6e-04,9,298,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E28",27.8754,117.7921,6e-04,4,148,5,14085,5443.25,11.2,19.3,25,198,52,347,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E29",27.8637,117.7921,1e-04,1,11,5,15592,8892.8330078125,10.2,18.1,25,199,52,434,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E30",27.8615,117.7868,1e-04,3,11,5,12068,5807.25,9.5,17.4,24,199,52,225,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N1",27.8518,117.7774,1e-04,9,30,5,15678,9006.3330078125,9.7,17.5,25,199,52,318,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N2",27.8377,117.7581,1e-04,4,38,5,12813,5861,10.3,18.3,25,198,52,223,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N3",27.8277,117.7479,4e-04,2,112,5,13180,5044.5,10.9,18.9,25,198,52,355,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N4",27.8193,117.7177,4e-04,5,28,5,14118,6374.75,14.2,22.7,26,194,55,381,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N5",27.8303,117.7197,6e-04,10,54,5,14887,6640.91650390625,14.4,22.9,26,195,55,422,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N6",27.8367,117.424,6e-04,19,158,5,18061,13086.6669921875,17.3,26.4,27,187,60,184,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N7",27.8557,117.7221,6e-04,24,182,5,16450,10627.5830078125,13.4,21.8,26,195,53,519,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N8",27.8554,117.701,6e-04,22,99,5,14278,6213.75,11.9,20.1,25,196,53,304,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N9",27.8554,117.686,6e-04,30,299,5,13945,5952.08349609375,14.7,23.3,26,196,55,417,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N10",27.8542,117.6739,6e-04,20,148,5,14774,6147.66650390625,15.2,23.8,26,196,56,496,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N11",27.8615,117.6712,6e-04,28,230,5,14259,6547.16650390625,16,24.7,27,195,58,389,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N12",27.8677,117.6675,4e-04,21,97,5,14043,6515,15.7,24.4,27,195,57,307,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","N13",27.8748,117.6642,4e-04,19,142,5,14356,7080.33349609375,16,24.7,27,195,58,456,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"CoelhodeSouza_Amazon","AGJ-01",-11.89,-71.36,0.02,186,1637,10,34118,14760,25.2,25.8,78,264,45,22,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","AGP-01",-3.72,-70.31,0.01,291,826,10,25379,10841.75,25.9,26.3,85,507,22,33,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","AGP-02",-3.72,-70.3,0.01,292,877,10,25801,10977.0830078125,25.8,26.2,85,507,22,24,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALF-01",-9.6,-55.94,0.01,143,569,10,25315,13387.6669921875,25.6,26.2,69,51,70,34,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALF-02",-9.58,-55.92,0.01,108,584,10,25213,13045.4169921875,25.6,26.2,69,51,70,79,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALM-01",-11.8,-71.47,0.02,329,1754,10,34297,14908,25.1,25.7,78,249,45,61,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-01",-3.95,-73.43,0.01,323,752,10,27697,12541.25,26.3,26.8,84,529,18,33,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-02",-3.95,-73.44,0.01,333,792,10,27797,12680.5830078125,26.3,26.9,84,528,18,23,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-05",-3.96,-73.44,0.001,50,65,10,27338,12612,26.3,26.9,83,528,18,28,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-10",-3.95,-73.41,0.001,73,93,10,27722,12603.5830078125,26.3,26.8,85,532,18,42,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-16",-3.94,-73.43,0.001,66,86,10,27371,12656.5,26.4,26.9,84,532,18,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-20",-3.96,-73.43,0.001,48,63,10,27735,12625.9169921875,26.3,26.8,84,529,18,25,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-23",-3.95,-73.42,0.001,38,63,10,27351,12269,26.4,26.9,84,530,18,37,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ALP-40",-3.94,-73.44,0.01,43,1270,10,26975,12482.8330078125,26.3,26.8,85,533,18,23,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","AMA-02",5.58,-77.5,0.01,106,472,10,20388,13474.9169921875,25.5,25.9,89,940,25,69,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","AMD-01",-1.83,-46.75,0.01,138,536,10,15505,10479.6669921875,26.3,26.9,83,137,63,32,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","AMI-01",-13.58,-68.76,0.001,54,81,10,33479,14428.6669921875,25.2,26.2,73,247,51,29,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ARC-10",-0.41,-72.33,0.001,42,89,10,25548,11725.5830078125,26.7,27.4,76,420,30,41,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","ARC-11",-0.41,-72.31,4e-04,16,66,10,25365,11658,26.6,27.3,76,422,29,43,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BAC-01",7.46,-71.01,0.0025,44,133,10,28215,12771.8330078125,26.7,27.3,76,66,66,19,0,"Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BAC-05",7.47,-71.02,0.0025,33,135,10,28522,12888.1669921875,26.7,27.2,77,66,66,28,0,"Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BAR-01",-11.9,-71.42,0.01,209,816,10,34681,15293.1669921875,25.2,25.8,78,263,45,60,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BBS-01",4.93,-55.22,0.01,123,635,10,25193,12620.75,24,25,77,289,41,96,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
